"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"299",947748,1959,45,248,0,898494783
"300",947667,2049,40,244,0,901482277
"301",947671,2024,45,260,0,904471031
"302",947636,2046,55,263,0,907466981
"303",947665,2017,50,268,0,910465807
"304",947622,2079,48,251,0,913462292
"305",947656,2048,45,251,0,916456855
"306",947680,2041,27,252,0,919463098
"307",947649,2087,34,230,0,922453133
"308",947635,2047,36,282,0,925435730
"309",947703,1972,34,291,0,928431821
"310",947674,2025,38,263,0,931428646
"311",947673,2004,51,272,0,934429984
"312",947656,2028,57,259,0,937428025
"313",947654,1999,52,295,0,940406482
"314",947651,1995,53,301,0,943401123
"315",947725,1941,49,285,0,946392049
"316",947727,1978,40,255,0,949387015
"317",947640,2063,52,245,0,952380128
"318",947615,2093,52,240,0,955375355
"319",947623,2068,50,259,0,958367278
"320",947632,2049,46,273,0,961368646
"321",947663,2022,50,265,0,964370295
"322",947677,2018,42,263,0,967358244
"323",947610,2046,43,301,0,970348783
"324",947597,2076,45,282,0,973344540
"325",947587,2081,32,300,0,976334456
"326",947558,2126,36,280,0,979337293
"327",947591,2092,49,268,0,982323766
"328",947645,2038,60,257,0,985319538
"329",947636,2045,59,260,0,988321103
"330",947614,2066,55,265,0,991318692
"331",947596,2105,49,250,0,994318083
"332",947549,2176,38,237,0,997325721
"333",947499,2225,43,233,0,1000323917
"334",947427,2284,40,249,0,1003317291
"335",947477,2236,50,237,0,1006305651
"336",947496,2201,58,245,0,1009289154
"337",947472,2240,45,243,0,1012280089
"338",947470,2232,46,252,0,1015284710
"339",947550,2211,30,209,0,1018277731
"340",947623,2141,22,214,0,1021278328
"341",947637,2110,20,233,0,1024254480
"342",947673,2079,28,220,0,1027236277
"343",947537,2178,23,262,0,1030227564
"344",947484,2221,37,258,0,1033215162
"345",947493,2200,47,260,0,1036203921
"346",947516,2158,44,282,0,1039191939
"347",947464,2196,56,284,0,1042181027
"348",947474,2190,40,296,0,1045168730
"349",947533,2143,44,280,0,1048168037
"350",947455,2190,39,316,0,1051165352
"351",947485,2172,44,299,0,1054159400
"352",947488,2168,43,301,0,1057144824
"353",947460,2178,44,318,0,1060147236
"354",947446,2178,35,341,0,1063142831
"355",947425,2166,34,375,0,1066129291
"356",947417,2199,46,338,0,1069120688
"357",947415,2217,42,326,0,1072113996
"358",947471,2188,43,298,0,1075103956
"359",947463,2194,47,296,0,1078099517
"360",947471,2175,65,289,0,1081091951
"361",947477,2212,56,255,0,1084087100
"362",947484,2200,74,242,0,1087076441
"363",947482,2194,56,268,0,1090075972
"364",947455,2225,59,261,0,1093059405
"365",947528,2147,55,270,0,1096035679
"366",947539,2140,48,273,0,1099027016
"367",947534,2139,49,278,0,1102026859
"368",947556,2130,45,269,0,1105015509
"369",947580,2079,48,293,0,1108002721
"370",947601,2081,30,288,0,1110991724
"371",947668,2022,28,282,0,1113987308
"372",947740,1953,25,282,0,1116969055
"373",947790,1899,37,274,0,1119975272
"374",947723,1940,51,286,0,1122974929
"375",947782,1884,50,284,0,1125955327
"376",947784,1890,40,286,0,1128947116
"377",947750,1946,34,270,0,1131938190
"378",947768,1904,49,279,0,1134951817
"379",947742,1930,53,275,0,1137947435
"380",947746,1947,54,253,0,1140946822
"381",947775,1903,48,274,0,1143952585
"382",947709,1970,49,272,0,1146953825
"383",947697,1986,41,276,0,1149942049
"384",947672,2001,47,280,0,1152939460
"385",947686,2005,46,263,0,1155925285
"386",947627,2051,56,266,0,1158913258
"387",947640,2032,63,265,0,1161910040
"388",947595,2085,52,268,0,1164904179
"389",947571,2087,60,282,0,1167887654
"390",947647,2012,73,268,0,1170874438
"391",947661,1991,77,271,0,1173858535
"392",947622,2047,65,266,0,1176851291
"393",947567,2071,86,276,0,1179844222
"394",947506,2121,85,288,0,1182850574
"395",947473,2153,89,285,0,1185844891
"396",947521,2131,83,265,0,1188846271
"397",947551,2145,61,243,0,1191845362
"398",947560,2132,58,250,0,1194831529
"399",947589,2091,56,264,0,1197811634
"400",947549,2138,60,253,0,1200806381
"401",947509,2179,49,263,0,1203788657
"402",947528,2144,47,281,0,1206782515
"403",947460,2222,50,268,0,1209782608
"404",947478,2239,51,232,0,1212774318
"405",947410,2282,66,242,0,1215770780
"406",947458,2260,58,224,0,1218763205
"407",947414,2329,53,204,0,1221753531
"408",947358,2401,58,183,0,1224748995
"409",947363,2402,56,179,0,1227742341
"410",947316,2446,51,187,0,1230738607
"411",947353,2420,39,188,0,1233732192
"412",947336,2453,35,176,0,1236717658
"413",947311,2472,50,167,0,1239709061
"414",947369,2438,51,142,0,1242703211
"415",947389,2413,60,138,0,1245703153
"416",947317,2465,65,153,0,1248696617
"417",947309,2481,61,149,0,1251699556
"418",947261,2529,56,154,0,1254681207
"419",947241,2524,70,165,0,1257672263
"420",947298,2481,66,155,0,1260667491
"421",947295,2488,54,163,0,1263650777
"422",947302,2484,46,168,0,1266652054
"423",947242,2525,54,179,0,1269648480
"424",947201,2558,60,181,0,1272644089
"425",947197,2535,60,208,0,1275642881
"426",947149,2562,61,228,0,1278637100
"427",947097,2615,71,217,0,1281631697
"428",947084,2650,72,194,0,1284642187
