"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"389",943533,5709,90,668,0,1168280619
"390",943541,5718,80,661,0,1171271590
"391",943498,5735,82,685,0,1174262750
"392",943427,5791,68,714,0,1177259972
"393",943444,5779,73,704,0,1180271521
"394",943413,5745,97,745,0,1183257034
"395",943321,5842,99,738,0,1186246691
"396",943351,5806,85,758,0,1189229416
"397",943287,5883,95,735,0,1192228249
"398",943156,6044,99,701,0,1195213961
"399",943144,6088,78,690,0,1198220611
"400",943073,6163,77,687,0,1201204089
"401",943027,6179,97,697,0,1204193753
"402",942926,6236,112,726,0,1207196665
"403",942938,6188,133,741,0,1210195455
"404",942791,6340,139,730,0,1213187875
"405",942749,6344,124,783,0,1216182163
"406",942679,6417,124,780,0,1219161789
"407",942646,6418,131,805,0,1222167051
"408",942757,6347,119,777,0,1225170106
"409",942825,6298,112,765,0,1228173292
"410",942819,6303,111,767,0,1231169329
"411",942766,6325,126,783,0,1234167904
"412",942788,6309,123,780,0,1237155166
"413",942849,6276,120,755,0,1240157015
"414",942855,6268,120,757,0,1243153417
"415",942863,6277,138,722,0,1246144819
"416",942840,6267,146,747,0,1249133151
"417",942815,6322,163,700,0,1252137773
"418",942877,6229,163,731,0,1255141387
"419",942794,6331,168,707,0,1258142379
"420",942773,6374,164,689,0,1261129615
"421",942748,6378,162,712,0,1264121482
"422",942794,6293,158,755,0,1267120774
"423",942808,6260,133,799,0,1270124851
"424",942781,6274,149,796,0,1273125408
"425",942765,6307,142,786,0,1276111679
"426",942718,6294,159,829,0,1279102074
"427",942743,6270,156,831,0,1282095073
"428",942765,6193,173,869,0,1285093660
"429",942768,6182,151,899,0,1288076407
"430",942766,6235,162,837,0,1291075435
"431",942751,6239,162,848,0,1294061181
"432",942765,6228,150,857,0,1297062478
"433",942687,6241,155,917,0,1300054447
"434",942624,6239,150,987,0,1303054001
"435",942809,6052,146,993,0,1306049804
"436",942732,6180,117,971,0,1309051426
"437",942715,6155,120,1010,0,1312048315
"438",942819,6045,126,1010,0,1315038181
"439",942738,6159,104,999,0,1318025504
"440",942811,6053,117,1019,0,1321020851
"441",942835,6051,105,1009,0,1324017472
"442",942695,6154,114,1037,0,1327019701
"443",942762,6080,114,1044,0,1330015126
"444",942718,6139,107,1036,0,1332998989
"445",942692,6153,132,1023,0,1335991615
"446",942645,6216,127,1012,0,1338994004
"447",942628,6246,144,982,0,1341988903
"448",942631,6242,154,973,0,1344998118
"449",942634,6160,138,1068,0,1348005401
"450",942596,6195,122,1087,0,1350997133
"451",942585,6177,138,1100,0,1353996063
"452",942571,6139,163,1127,0,1356992088
"453",942671,6017,172,1140,0,1359984347
"454",942601,6085,153,1161,0,1362972115
"455",942621,6094,130,1155,0,1365964187
"456",942671,6008,151,1170,0,1368965851
"457",942638,6017,126,1219,0,1371961158
"458",942707,5933,138,1222,0,1374954390
"459",942669,5980,145,1206,0,1377952505
"460",942517,6078,136,1269,0,1380947113
"461",942531,6060,135,1274,0,1383938449
"462",942475,6059,140,1326,0,1386920559
"463",942465,6019,144,1372,0,1389906136
"464",942544,6024,126,1306,0,1392914566
"465",942561,6065,135,1239,0,1395921908
"466",942632,5995,144,1229,0,1398914934
"467",942651,5994,154,1201,0,1401914003
"468",942777,5874,140,1209,0,1404896816
"469",942748,5872,169,1211,0,1407899193
"470",942745,5844,157,1254,0,1410888012
"471",942723,5853,141,1283,0,1413889327
"472",942776,5852,134,1238,0,1416888930
